Gene ID,Exemplar Accession,Exemplar gene,Exemplar species,Number of species,Number of genera,Average percentage of target recovered,Average recovered length,Fasta file url,Alignment file url,Tree file url
5531,A0A1D1Z2Y9,At1g52590,Anthurium amnicola,8327,6745,63.0,261.8787,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5531.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5531.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5531.tree
5536,Q0WRJ7,At3g60370,Arabidopsis thaliana (Mouse-ear cress),8832,7118,79.3,295.2282,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5536.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5536.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5536.tree
5551,A0A1J6K297,PUR7,Nicotiana attenuata (Coyote tobacco),9179,7368,55.4,486.054,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5551.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5551.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5551.tree
5554,A0A1D1XHK0,CWC27_3,Anthurium amnicola,9376,7496,56.4,653.202,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5554.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5554.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5554.tree
5562,A0A251SFK2,BUD20,Helianthus annuus (Common sunflower),9127,7322,66.4,234.002,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5562.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5562.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5562.tree
5578,Q9FIC3,BOLA2,Arabidopsis thaliana (Mouse-ear cress),8729,7041,84.6,171.3626,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5578.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5578.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5578.tree
5594,A0A3L6E4D5,CDSP32,Zea mays (Maize),9308,7448,90.0,584.8839,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5594.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5594.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5594.tree
5596,A0A3L6F710,vps15_4,Zea mays (Maize),9365,7498,71.3,1272.6695,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5596.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5596.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5596.tree
5599,A0A438K5R2,CRK45,Vitis vinifera (Grape),9399,7514,59.3,1025.5628,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5599.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5599.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5599.tree
5614,A0A371H2G1,ibtk,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9389,7510,73.0,1526.3052,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5614.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5614.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5614.tree
5620,A0A3L6DKU6,mrm1,Zea mays (Maize),9298,7453,81.2,848.517,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5620.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5620.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5620.tree
5634,A0A1D1Y506,DMAP1_0,Anthurium amnicola,9212,7390,43.6,461.9348,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5634.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5634.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5634.tree
5639,A0A3L6EVH4,PPH_1,Zea mays (Maize),9291,7430,69.4,589.9993,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5639.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5639.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5639.tree
5642,A0A438EXS0,DCTD_1,Vitis vinifera (Grape),7341,5977,41.9,156.3042,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5642.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5642.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5642.tree
5644,A0A1D1Z8D0,SNUPN,Anthurium amnicola,9222,7384,64.0,544.0542,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5644.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5644.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5644.tree
5656,A0A371GR33,hmces,Mucuna pruriens (Velvet bean) (Dolichos pruriens),8257,6720,72.9,161.7421,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5656.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5656.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5656.tree
5660,Q709F6,hus1,Arabidopsis thaliana (Mouse-ear cress),7745,6412,72.7,364.6332,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5660.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5660.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5660.tree
5664,A0A1D1YLE5,At1g18480_4,Anthurium amnicola,9241,7400,73.6,706.9903,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5664.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5664.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5664.tree
5670,A0A1D1XN68,APC7_2,Anthurium amnicola,9226,7379,55.2,690.0016,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5670.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5670.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5670.tree
5699,A0A371FH14,ATG5,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9120,7326,57.0,401.6679,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5699.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5699.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5699.tree
5702,A0A251SB21,QPT,Helianthus annuus (Common sunflower),9359,7485,81.5,617.678,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5702.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5702.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5702.tree
5703,,,,8843,7094,49.4,429.7652,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5703.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5703.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5703.tree
5716,A0A371HSA5,TGH,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9348,7477,44.0,791.0962,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5716.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5716.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5716.tree
5721,A0A3L6FL13,cysG,Zea mays (Maize),9340,7477,77.3,569.1956,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5721.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5721.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5721.tree
5733,Q8H1F7,IPK,Arabidopsis thaliana (Mouse-ear cress),8703,7008,39.9,230.4868,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5733.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5733.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5733.tree
5744,Q8VY88,LTD,Arabidopsis thaliana (Mouse-ear cress),8954,7199,86.8,308.8929,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5744.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5744.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5744.tree
5770,A0A438H6B2,TIG_1,Vitis vinifera (Grape),9060,7255,61.4,748.5348,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5770.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5770.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5770.tree
5772,A0A314LDV4,PDF1A,Nicotiana attenuata (Coyote tobacco),9191,7365,70.7,435.7539,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5772.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5772.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5772.tree
5791,B3GEM2,CMS,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),8590,6930,46.6,315.7449,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5791.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5791.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5791.tree
5802,A0A2I0A0S6,ORC2,Apostasia shenzhenica,8526,6944,78.2,210.1244,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5802.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5802.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5802.tree
5815,Q8LAD0,PDX2,Arabidopsis thaliana (Mouse-ear cress),9243,7404,62.5,415.0721,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5815.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5815.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5815.tree
5816,,,,9100,7314,45.0,697.0824,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5816.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5816.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5816.tree
5821,A0A5B6VR89,dph5,Gossypium australe,8978,7217,66.6,450.4243,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5821.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5821.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5821.tree
5822,Q501F5,At4g26980,Arabidopsis thaliana (Mouse-ear cress),8854,7130,63.5,486.2547,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5822.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5822.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5822.tree
5840,A0A371FFZ0,ycf39,Mucuna pruriens (Velvet bean) (Dolichos pruriens),8989,7228,83.5,690.9597,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5840.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5840.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5840.tree
5841,A0A1D1YTR0,DWA2_3,Anthurium amnicola,9096,7305,58.2,471.5025,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5841.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5841.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5841.tree
5842,A0A251SNA0,EMB9,Helianthus annuus (Common sunflower),9199,7389,44.6,463.1445,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5842.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5842.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5842.tree
5843,A0A1D1Y9E8,RBR1_0,Anthurium amnicola,8691,7014,69.3,255.2266,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5843.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5843.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5843.tree
5849,A0A3L6DUP7,Gid4_1,Zea mays (Maize),9247,7397,66.6,358.7827,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5849.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5849.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5849.tree
5853,A0A451ETE9,HOP2,Oryza sativa (Rice),9099,7338,82.2,535.973,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5853.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5853.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5853.tree
5857,A0A3L6ENU0,RPL3_5,Zea mays (Maize),9355,7489,87.8,576.4933,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5857.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5857.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5857.tree
5858,A0A438DUL5,PRP38_0,Vitis vinifera (Grape),9366,7495,73.9,479.0306,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5858.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5858.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5858.tree
5859,A0A4D9BZS5,WDR61,Salvia splendens (Scarlet sage),9240,7406,82.4,642.5762,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5859.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5859.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5859.tree
5865,A0A1D1ZAX1,Nom1_1,Anthurium amnicola,9300,7442,61.0,839.0681,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5865.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5865.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5865.tree
5866,A0A4D8YGI9,tatD,Salvia splendens (Scarlet sage),8713,7020,55.7,291.469,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5866.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5866.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5866.tree
5870,A0A251TJU8,UNC50,Helianthus annuus (Common sunflower),9282,7423,52.5,343.0945,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5870.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5870.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5870.tree
5893,Q2HIU0,At3g15110,Arabidopsis thaliana (Mouse-ear cress),8535,6910,64.2,367.0899,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5893.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5893.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5893.tree
5894,A0A438HTA6,RLF_2,Vitis vinifera (Grape),8927,7153,72.5,263.5462,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5894.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5894.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5894.tree
5899,A0A1D1YH47,COG2_0,Anthurium amnicola,9038,7212,53.0,860.8772,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5899.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5899.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5899.tree
5910,A0A5B6UK39,chlM,Gossypium australe,9243,7389,84.2,601.8395,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5910.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5910.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5910.tree
5913,Q9ZVN9,GTF2H2,Arabidopsis thaliana (Mouse-ear cress),9366,7493,79.3,832.855,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5913.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5913.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5913.tree
5918,A0A3L6DT87,atpI,Zea mays (Maize),8857,7135,55.2,398.808,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5918.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5918.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5918.tree
5919,A0A1J6IQT2,CNX3,Nicotiana attenuata (Coyote tobacco),9246,7428,93.0,420.3769,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5919.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5919.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5919.tree
5921,Q8L6H8,smc4,Oryza sativa (Rice),9326,7472,54.7,1901.8496,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5921.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5921.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5921.tree
5922,B5X565,emb2738,Arabidopsis thaliana (Mouse-ear cress),9386,7503,73.8,1083.6169,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5922.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5922.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5922.tree
5926,A0A3L6G6H1,NLP2_0,Zea mays (Maize),9239,7399,56.3,464.9397,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5926.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5926.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5926.tree
5933,A0A2I0W3M7,CSP41A,Dendrobium catenatum,9134,7341,75.4,595.5546,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5933.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5933.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5933.tree
5936,A0A3L6G2S9,RRP4,Zea mays (Maize),8533,6911,62.3,242.3181,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5936.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5936.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5936.tree
5940,A0A3L6F3Y8,PIGC,Zea mays (Maize),9315,7461,81.6,643.9909,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5940.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5940.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5940.tree
5941,A0A251V0I3,PFD5,Helianthus annuus (Common sunflower),8596,6909,69.1,287.3078,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5941.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5941.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5941.tree
5942,Q2V4Q4,RPL4,Arabidopsis thaliana (Mouse-ear cress),9187,7363,86.1,503.5236,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5942.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5942.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5942.tree
5943,A0A1J6I727,VCL1_1,Nicotiana attenuata (Coyote tobacco),9345,7475,55.8,983.4094,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5943.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5943.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5943.tree
5944,A0A3L6EET2,RAD1,Zea mays (Maize),9143,7367,66.7,455.7825,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5944.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5944.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5944.tree
5945,A0A438HKD2,nsa2_0,Vitis vinifera (Grape),9355,7483,81.0,627.2416,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5945.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5945.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5945.tree
5949,A0A1J6I3B9,TIM21,Nicotiana attenuata (Coyote tobacco),9262,7431,71.7,392.0311,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5949.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5949.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5949.tree
5950,A0A3L6DPI8,memo1,Zea mays (Maize),9265,7427,80.8,540.2673,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5950.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5950.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5950.tree
5958,Q8W0Y8,PSB28,Arabidopsis thaliana (Mouse-ear cress),9208,7379,94.0,333.2555,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5958.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5958.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5958.tree
5960,A0A251RQD1,FIO1,Helianthus annuus (Common sunflower),9320,7473,63.1,680.9354,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5960.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5960.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5960.tree
5968,A0A251VFP1,FdC1,Helianthus annuus (Common sunflower),8711,7004,52.1,241.1602,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5968.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5968.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5968.tree
5974,A0A1D1Y9K5,yfjN,Anthurium amnicola,9017,7274,65.6,463.433,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5974.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5974.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5974.tree
5977,A0A4D9BIM2,RRP8,Salvia splendens (Scarlet sage),8808,7070,58.7,344.7021,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5977.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5977.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5977.tree
5980,Q2QY08,LOC_Os12g04260,Oryza sativa subsp. japonica (Rice),9120,7302,61.0,401.1902,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5980.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5980.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5980.tree
5981,A0A2I0XH51,OGG1,Dendrobium catenatum,9138,7349,70.7,618.257,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5981.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5981.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5981.tree
5990,A0A0S2LKQ9,Med21,Rehmannia glutinosa (Chinese foxglove),8302,6709,62.5,229.6265,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/5990.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/5990.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/5990.tree
6000,A0A371FIE8,yqxC,Mucuna pruriens (Velvet bean) (Dolichos pruriens),9064,7296,70.7,424.6526,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6000.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6000.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6000.tree
6003,O22795,RPL28,Arabidopsis thaliana (Mouse-ear cress),9258,7415,91.8,229.762,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6003.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6003.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6003.tree
6004,A0A314KKE7,PANC,Nicotiana attenuata (Coyote tobacco),9323,7475,60.2,396.18,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6004.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6004.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6004.tree
6016,A0A1D1XMJ5,At3g08650_3,Anthurium amnicola,9405,7518,79.3,880.8471,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6016.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6016.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6016.tree
6026,A0A251U254,ECHID,Helianthus annuus (Common sunflower),9326,7462,68.7,540.8905,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6026.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6026.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6026.tree
6029,A0A1D1ZDA3,PPME1_1,Anthurium amnicola,9251,7404,52.8,448.9242,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6029.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6029.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6029.tree
6034,A0A438J5C0,Prim1_1,Vitis vinifera (Grape),9091,7339,58.4,348.4986,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6034.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6034.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6034.tree
6036,A0A4D9ALK5,NUG1,Salvia splendens (Scarlet sage),9396,7512,82.7,1022.7775,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6036.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6036.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6036.tree
6038,A0A1W5P4U6,VTE1,Olea europaea (Common olive),9381,7503,67.5,729.9925,http://sftp.kew.org/pub/paftol/current_release/fasta/by_gene/6038.dna.fasta,http://sftp.kew.org/pub/paftol/current_release/fasta/alignments/6038.dna.aln.fasta,http://sftp.kew.org/pub/paftol/current_release/tree/gene/6038.tree
